;artist_name;link;nationality;birth;demise
89;Aguilonius, Franciscus;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=7151;Flemish;1567;1617
90;Ai Ch'i-meng;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=3045;German;1708;1780
91;Aid, George Charles;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2874;American;1872;1938
92;Aikman, Walter Monteith;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6398;American;1857;probably 1939
93;Ajay, Abe;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=33112;American;born 1919;Unknown
94;Akagawa, Kinji;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=5902;American;active 20th century;Unknown
95;Akana, Hiroshi;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2875;Japanese;active 1960;Unknown
96;Aken, Jan van;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2876;Dutch;1614;1661
97;Aken, Johann von;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=5566;German;1552;1615
98;Akers, Frank;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=12164;Unknown;Unknown;Unknown
99;Akersloot, Willem Outgertsz;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6164;Dutch;active 1620/1634;Unknown
100;Akhunov, Masabikh Fatkhylilamovich;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2877;Russian;born 1928;Unknown
101;Alain, Marie;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=7197;American;active c. 1935;Unknown
102;Alais, W. J.;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6266;Unknown;Unknown;Unknown
103;Alari Bonacolsi, Pier Jacopo;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2004;Italian;c. 1460;1528
104;Albani, Francesco;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2339;Italian;1578;1660
105;Albe, Gerhard Albin;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2878;Swedish;born 1892;Unknown
106;Albee, Grace Thurston Arnold;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2879;American;1890;1985
107;Albee, Percy F.;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=34616;American;1883;1959
108;Alberghetti, Zanin I;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=1999;Italian;active 1491/1504;Unknown
109;Alberghetti, Zuanne I (Zanin);https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=1999;Italian;active 1491/1504;Unknown
110;Alberghetti I, Giovanni;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=1999;Italian;active 1491/1504;Unknown
111;Albers, Anni;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=3476;American;born Germany;Unknown
112;Albers, Josef;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2340;American;born Germany;Unknown
113;Albers, Rita E.;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=33126;American;1914;1974
114;Albert, Adolphe;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2880;French;1855;after 1938
115;Albertazi, Gaetano;https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=12321;Italian;possibly active 15th or early 16th century;Unknown
116;Alberti, Cherubino;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2881;Italian;1553;1615
117;Alberti, Giovanni;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=6815;Italian;1558;1601
118;Alberti, Leone Battista;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2000;Italian;1404;1472
119;Albertolli, Ferdinando;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=35203;Italian;1781;1844
120;Albertolli, Giocondo;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=35532;Italian;1742;1839
121;Albertolli, Raffaeli;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=35202;Italian;1770;1812
122;Alberts, Julien;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33113;American;1916;1996
123;Albiker, Karl;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2341;German;born 1878;Unknown
124;Albin, Eleazar;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2882;British;active 1713/1759;Unknown
125;Albinson, Dewey;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33114;American;1898;1971
126;Albinus, Bernard Siegfried;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=27764;Unknown;Unknown;Unknown
127;Albites, Felice;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=34388;Italian;19th century;Unknown
128;Albright, Gertrude Partington;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33115;American;1874;1959
129;Albright, Herman Oliver;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33116;German;1876;1944
130;Albright, Ivan Le Lorraine;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=45;American;1897;1983
131;Albright, Malvin Marr;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=6496;American;1897;1983
132;Albritton, Edward;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=7198;American;active c. 1935;Unknown
133;Albro, Maxine;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33117;American;1903;1966
134;Alcázar, Luis Paret y;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=14992;Spanish;1746;1799
135;Aldan, Daisy;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33128;American;1923;2001
136;Aldegrever, Heinrich;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2342;German;1502;1555/1561
137;Aldrich, Adolf;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33118;American;born 1916;Unknown
138;Aleaume, Jacques;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=11387;French;died probably 1627;Unknown
139;Alechinsky, Pierre;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2883;Belgian;born 1927;Unknown
140;Alexander, Doris;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33129;American;1906;1995
141;Alexander, Dorothy;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=22257;Canadian;active 20th century;Unknown
142;Alexander, Eleanor;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=7199;American;active c. 1935;Unknown
143;Alexander, Esther Frances;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2343;American;1837;1917
144;Alexander, Francesca;https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2343;American;1837;1917
145;Alexander, Francis;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=53;American;1800;1880
146;Alexander, George H.;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=7200;American;active c. 1935;Unknown
147;Alexander, Harry G.;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=8253;American;active c. 1935;Unknown
148;Alexander, William;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=10981;British;1767;1816
149;Algardi, Alessandro;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2001;Italian;1598;1654
150;Aliamet, Jacques;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2885;French;1726;1788
151;Alix, François;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=34370;French;1753;1794
152;Alix, Pierre-Michel;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2886;French;1762;1817
153;Alken, Samuel;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5476;British;1756;1815
