Name,Link,Nationality,Birth,Demise
"Abularach, Rodolfo",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2861,Guatemalan,born 1933,Unknown
"Acampora, Nicholas",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=7196,American,active c. 1935,Unknown
"Acconci, Vito",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6509,American,born 1940,Unknown
"Achen, Johann von",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=5566,German,1552,1615
"Achenbach, Hans",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2862,German,born 1891,Unknown
"Achepohl, Keith Anden",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2863,American,born 1934,Unknown
"Achimescu, Bogdan",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=23963,Romanian,born 1965,Unknown
"Ackermann, Max",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=26486,German,1887,1975
"Ackermann, Rudolf Werner",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2864,German,born 1908,Unknown
"Ackroyd, Norman",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6712,British,born 1938,Unknown
"Acqua, Cristoforo dall'",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=11974,Italian,1734,1787
"Acton, Lillian E.",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=34647,American,born 1911,Unknown
Adam,https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6346,Unknown,active probably 18th century,Unknown
"Adam, Franz",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=35350,German,1815,1886
"Adam, Henri-Georges",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2867,French,1904,1967
"Adam, Jacob",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6925,Austrian,1748,1811
"Adam, James",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=11487,British,1732,1794
"Adam, Robert",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6560,British,1728,1792
"Adam, Victor",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=23937,French,1801,1866
"Adam, William",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=11486,British,1689,1748
"Adams, Ansel",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6032,American,1902,1984
"Adams, Ansel Easton",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6032,American,1902,1984
"Adams, Ben Q.",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=10111,American,active 1970s,Unknown
"Adams, Clinton",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2868,American,1918,2002
"Adams, Herbert",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=26724,American,1858,1945
"Adams, Jean Crawford",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=33110,American,1884,1972
"Adams, Kenneth Miller",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=5901,American,1897,1966
"Adams, Robert",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=16503,American,born 1937,Unknown
"Adams, Robert and Kerstin",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=16503,American,born 1937,Unknown
"Adams, Ron",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=19938,Unknown,Unknown,Unknown
"Adams, Wayman",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=33111,American,1883,1959
"Adamson, Robert",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=13363,Scottish,1821,1848
"Adan, Louis Emile",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=34434,French,1839,1937
"Adcock, Craig",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=25972,Unknown,Unknown,Unknown
"Addams, Clifford Isaac",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2869,American,1876,1942
"Adelman, Lillian",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=34631,American,1899,1985
"Ademollo, Luigi",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=28114,Italian,1764,1849
"Ader, Bas Jan",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=31179,Dutch,1942,1975
"Adhémar, Jean",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=36421,French,1908,1987
"Adlard, Henry",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=6163,British,active 19th century,Unknown
"Adoian, Vosdanik Manook",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=1351,American,born Armenia,Unknown
Adriano Fiorentino,https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=1997,Italian,c. 1450/1460,1499
"Adzak, Roy",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2870,British,born 1927,Unknown
"Aelst, Willem van",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=27,Dutch,1627,1683
"""Aetatis Suae"" Limner",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=6690,American,active c. 1717,1725
Afro,https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2871,Italian,1912,1976
Aftograf,https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=10432,Russian,active 20th century,Unknown
"Agar, Charles d'",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=6315,French,born 1669,Unknown
"Agliaudo, Ignazio",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=19624,Italian,active 1737,Unknown
"Aglio, Agostino",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2872,British,1777,1859
"Aglio, Augustine",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2872,British,1777,1859
"Agnolo, Battista dell'",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=10543,Italian,c. 1515,1573
Agostino di Duccio,https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=1998,Italian,1418,probably 1481
"Agricola, Eduard",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=33676,German,1800,1848
"Agrippa, Giovanni Guido",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=9896,Italian,active from c. 1501,Unknown
"Aguero, Leopoldo Torres",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6585,Argentinean,born 1924,Unknown
"Aguilonius, Franciscus",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=7151,Flemish,1567,1617
Ai Ch'i-meng,https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=3045,German,1708,1780
"Aid, George Charles",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2874,American,1872,1938
"Aikman, Walter Monteith",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6398,American,1857,probably 1939
"Ajay, Abe",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=33112,American,born 1919,Unknown
"Akagawa, Kinji",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=5902,American,active 20th century,Unknown
"Akana, Hiroshi",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2875,Japanese,active 1960,Unknown
"Aken, Jan van",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2876,Dutch,1614,1661
"Aken, Johann von",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=5566,German,1552,1615
"Akers, Frank",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=12164,Unknown,Unknown,Unknown
"Akersloot, Willem Outgertsz",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6164,Dutch,active 1620/1634,Unknown
"Akhunov, Masabikh Fatkhylilamovich",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2877,Russian,born 1928,Unknown
"Alain, Marie",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=7197,American,active c. 1935,Unknown
"Alais, W. J.",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=6266,Unknown,Unknown,Unknown
"Alari Bonacolsi, Pier Jacopo",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2004,Italian,c. 1460,1528
"Albani, Francesco",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2339,Italian,1578,1660
"Albe, Gerhard Albin",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2878,Swedish,born 1892,Unknown
"Albee, Grace Thurston Arnold",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2879,American,1890,1985
"Albee, Percy F.",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=34616,American,1883,1959
"Alberghetti, Zanin I",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=1999,Italian,active 1491/1504,Unknown
"Alberghetti, Zuanne I (Zanin)",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=1999,Italian,active 1491/1504,Unknown
"Alberghetti I, Giovanni",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=1999,Italian,active 1491/1504,Unknown
"Albers, Anni",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=3476,American,born Germany,Unknown
"Albers, Josef",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2340,American,born Germany,Unknown
"Albers, Rita E.",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=33126,American,1914,1974
"Albert, Adolphe",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=2880,French,1855,after 1938
"Albertazi, Gaetano",https://web.archive.org/web/20121010213153/http://www.nga.gov/cgi-bin/tsearch?artistid=12321,Italian,possibly active 15th or early 16th century,Unknown
"Alberti, Cherubino",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2881,Italian,1553,1615
"Alberti, Giovanni",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=6815,Italian,1558,1601
"Alberti, Leone Battista",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2000,Italian,1404,1472
"Albertolli, Ferdinando",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=35203,Italian,1781,1844
"Albertolli, Giocondo",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=35532,Italian,1742,1839
"Albertolli, Raffaeli",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=35202,Italian,1770,1812
"Alberts, Julien",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33113,American,1916,1996
"Albiker, Karl",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2341,German,born 1878,Unknown
"Albin, Eleazar",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2882,British,active 1713/1759,Unknown
"Albinson, Dewey",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33114,American,1898,1971
"Albinus, Bernard Siegfried",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=27764,Unknown,Unknown,Unknown
"Albites, Felice",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=34388,Italian,19th century,Unknown
"Albright, Gertrude Partington",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33115,American,1874,1959
"Albright, Herman Oliver",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33116,German,1876,1944
"Albright, Ivan Le Lorraine",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=45,American,1897,1983
"Albright, Malvin Marr",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=6496,American,1897,1983
"Albritton, Edward",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=7198,American,active c. 1935,Unknown
"Albro, Maxine",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33117,American,1903,1966
"Alcázar, Luis Paret y",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=14992,Spanish,1746,1799
"Aldan, Daisy",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33128,American,1923,2001
"Aldegrever, Heinrich",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2342,German,1502,1555/1561
"Aldrich, Adolf",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33118,American,born 1916,Unknown
"Aleaume, Jacques",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=11387,French,died probably 1627,Unknown
"Alechinsky, Pierre",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2883,Belgian,born 1927,Unknown
"Alexander, Doris",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=33129,American,1906,1995
"Alexander, Dorothy",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=22257,Canadian,active 20th century,Unknown
"Alexander, Eleanor",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=7199,American,active c. 1935,Unknown
"Alexander, Esther Frances",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2343,American,1837,1917
"Alexander, Francesca",https://web.archive.org/web/20121010212954/http://www.nga.gov/cgi-bin/tsearch?artistid=2343,American,1837,1917
"Alexander, Francis",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=53,American,1800,1880
"Alexander, George H.",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=7200,American,active c. 1935,Unknown
"Alexander, Harry G.",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=8253,American,active c. 1935,Unknown
"Alexander, William",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=10981,British,1767,1816
"Algardi, Alessandro",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2001,Italian,1598,1654
"Aliamet, Jacques",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2885,French,1726,1788
"Alix, François",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=34370,French,1753,1794
"Alix, Pierre-Michel",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2886,French,1762,1817
"Alken, Samuel",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5476,British,1756,1815
"Allais, Angelique",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2887,French,active 18th century,Unknown
"Allan, William",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=36895,Scottish,1782,1850
"Allard, Carel",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=28961,Netherlandish,1648,1709
"Allard-Cambray, Celestin",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2888,French,active 19th century,Unknown
Allardet,https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=36550,Unknown,Unknown,Unknown
Allegretto di Nuzi,https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5525,Italian,c. 1315,1373
Allegretto Nuzi,https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5525,Italian,c. 1315,1373
"Allegri, Antonio",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=1170,Italian,1489/1494,1534
"Allegrini, Francesco",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=28421,Italian,c. 1615,after 1679
"Allen, Albert",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=7201,American,active c. 1935,Unknown
"Allen, Anne",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=6048,French,active 1790s,Unknown
"Allen, Courtney",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5720,American,born 1896,Unknown
"Allen, Eldon",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=7202,American,active c. 1935,Unknown
"Allen, James",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=19508,American,active 1970s,Unknown
"Allen, James E.",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2889,American,1894,1964
"Allen, Joseph",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=6097,British,c. 1770,1839
"Allen, Luther",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=61,American,1780,1821
"Allet, Giovanni",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2890,French,c. 1668,1732
"Allet, Jean Charles",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2890,French,c. 1668,1732
"Allom, Thomas",https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=9816,British,1804,1872
"Allori, Alessandro",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2344,Italian,1535,1607
"Allori, Alessandro di Cristofano di Lorenzo",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2344,Italian,1535,1607
"Allston, Washington",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2345,American,1779,1843
"Alma-Tadema, Laura Theresa",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=5862,British,1852,1909
"Alma-Tadema, Lawrence",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=9817,British,1836,1912
"Alma-Tadema, Lawrence, Sir",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=9817,British,1836,1912
"Almgren, Jenny",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7203,American,1881,1962
"Aloisi, Anna",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7204,American,born c. 1890,Unknown
"Alps, Glen Earl",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2891,American,born 1914,Unknown
"Alston, Charles",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=36256,American,1907,1977
"Alt, Jakob",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=23829,German,1789,1872
"Alt, Jaroslav",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=24883,Czech,born 1950,Unknown
"Alt, Rudolf von",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=26510,Austrian,1812,1905
"Altdorfer, Albrecht",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=72,German,1480 or before,1538
"Altdorfer, Erhard",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2892,German,active 1512/1561,Unknown
"Altdorffer, Erhard",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2892,German,active 1512/1561,Unknown
Altichiero da Zevio,https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=24049,Italian,active c. 1369,1388
"Altman, Harold",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2346,American,1924,2003
"Altmann, Jirí",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=24871,Czech,born 1942,Unknown
"Altomonte, Andreas",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=35909,Unknown,Unknown,Unknown
"Altomonte, Martino",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=26345,Austrian,1657,1745
"Altoon, John",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=5659,American,1925,1969
"Altshuler, Murray",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=33130,American,1907,1987
"Alvarez, Francisco",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7205,American,active c. 1935,Unknown
"Alvarez Bravo, Manuel",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=16466,Mexican,1902,2002
Alvise dal Friso,https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=25316,Italian,c. 1544,1609
"Alward, Linnet",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7206,American,active c. 1935,Unknown
"Amadei, Amadio",https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2003,Italian,died c. 1483,Unknown
